x,y,color
899,40,#7feb00
904,40,#7feb00
908,40,#7feb00
913,40,#7feb00
918,40,#7feb00
923,40,#7feb00
928,40,#ff0000
932,40,#ff0000
937,41,#7feb00
942,41,#7feb00
947,41,#7feb00
952,41,#7feb00
956,41,#7feb00
961,41,#7feb00
966,41,#7feb00
970,41,#7feb00
975,41,#7feb00
980,42,#7feb00
985,42,#7feb00
990,42,#7feb00
994,42,#7feb00
999,42,#ff0000
1004,42,#7feb00
1009,42,#7feb00
1014,42,#ff0000
1018,42,#7feb00
1023,42,#7feb00
1028,42,#ff0000
1033,43,#ff0000
1037,43,#ff0000
1042,43,#ff0000
1047,43,#7feb00
1052,43,#7feb00
1057,43,#ff0000
1061,43,#7feb00
1066,43,#7feb00
1071,43,#7feb00
1076,44,#7feb00
1080,44,#7feb00
1085,44,#7feb00
1090,44,#7feb00
1094,44,#7feb00
1099,44,#7feb00
1104,44,#7feb00
1109,44,#7feb00
1114,44,#7feb00
1118,44,#7feb00
1123,45,#7feb00
1128,45,#7feb00
1133,45,#7feb00
1137,45,#7feb00
1142,45,#7feb00
1147,45,#ff0000
1152,45,#7feb00
1156,45,#7feb00
1161,45,#7feb00
1166,45,#7feb00
1171,45,#7feb00
1176,46,#7feb00
1180,46,#7feb00
1185,46,#7feb00
1190,46,#7feb00
1195,46,#7feb00
1200,46,#7feb00
1204,46,#7feb00
1209,46,#7feb00
1214,46,#7feb00
1219,46,#7feb00
1223,47,#7feb00
1228,47,#7feb00
1233,47,#7feb00
1238,47,#7feb00
1243,47,#7feb00
1248,47,#7feb00
1252,47,#7feb00
1258,47,#7feb00
1262,47,#7feb00
1267,47,#7feb00
1272,48,#7feb00
1277,48,#7feb00
1282,48,#7feb00
1287,48,#7feb00
1292,48,#7feb00
1298,48,#7feb00
1303,48,#7feb00
1308,48,#7feb00
1313,48,#7feb00
1318,49,#7feb00
1323,49,#7feb00
1328,49,#7feb00
1334,49,#7feb00
1339,49,#7feb00
1344,49,#7feb00
1349,49,#7feb00
1354,49,#7feb00
1360,49,#7feb00
1365,50,#7feb00
1370,50,#7feb00
1375,50,#7feb00
1380,50,#7feb00
1385,50,#7feb00
1391,50,#7feb00
1396,50,#7feb00
1401,50,#7feb00
1406,50,#7feb00
1412,51,#7feb00
1417,51,#7feb00
1422,51,#7feb00
1427,51,#7feb00
1432,51,#7feb00
1438,51,#7feb00
1443,51,#7feb00
1448,51,#7feb00
1453,51,#7feb00
1458,51,#7feb00
1464,52,#7feb00
1469,52,#7feb00
1474,52,#7feb00
1479,52,#7feb00
1485,52,#7feb00
1490,52,#7feb00
1495,52,#7feb00
1501,52,#7feb00
1506,52,#7feb00
1511,52,#7feb00
1516,53,#7feb00
1522,53,#7feb00
1527,53,#ff0000
1532,53,#7feb00
1538,53,#7feb00
1543,53,#7feb00
1548,53,#7feb00
1553,54,#7feb00
1558,54,#7feb00
1564,54,#7feb00
1569,54,#7feb00
1574,54,#7feb00
1579,54,#7feb00
1585,54,#7feb00
1590,54,#7feb00
1595,54,#7feb00
1601,54,#7feb00
1606,55,#7feb00
1611,55,#7feb00
1617,55,#7feb00
1622,55,#7feb00
1627,55,#7feb00
1632,55,#7feb00
1637,55,#7feb00
1643,55,#7feb00
1648,55,#7feb00
1653,56,#7feb00
1659,56,#7feb00
1664,56,#7feb00
1669,56,#7feb00
1674,56,#7feb00
1678,56,#7feb00
1683,56,#7feb00
1688,56,#7feb00
1693,56,#7feb00
1698,56,#7feb00
1702,57,#7feb00
1707,57,#7feb00
1712,57,#7feb00
1717,57,#7feb00
1722,57,#7feb00
1727,57,#7feb00
1731,57,#7feb00
1735,57,#7feb00
1739,57,#7feb00
1743,57,#7feb00
1747,57,#7feb00
1750,57,#7feb00
1754,56,#7feb00
1757,55,#7feb00
1760,53,#7feb00
1763,50,#7feb00
1766,48,#7feb00
1769,46,#7feb00
1772,44,#7feb00
1775,42,#ff0000
1778,40,#ff0000
1782,39,#ff0000
1785,39,#ff0000
1789,39,#7feb00
1793,40,#7feb00
1796,41,#7feb00
1800,42,#006300
1803,44,#006300
1806,47,#006300
1808,49,#006300
1810,53,#006300
1812,56,#7feb00
1813,59,#7feb00
1814,63,#7feb00
1814,67,#7feb00
1815,70,#006300
1814,74,#7feb00
1814,77,#7feb00
1813,81,#7feb00
1812,84,#7feb00
1810,87,#7feb00
1807,90,#7feb00
1805,92,#7feb00
1801,94,#7feb00
1798,95,#7feb00
1795,96,#7feb00
1791,96,#7feb00
1787,96,#7feb00
1784,95,#7feb00
1780,94,#7feb00
1777,92,#7feb00
1774,90,#7feb00
1771,88,#7feb00
1768,85,#7feb00
1766,82,#7feb00
1764,79,#7feb00
1763,75,#ff0000
1762,72,#7feb00
1761,68,#ff0000
1761,64,#ff0000
1762,60,#7feb00
1763,57,#ff0000
1764,53,#ff0000
1766,50,#006300
1799,40,#7feb00
1803,42,#ff0000
1814,51,#ff0000
1817,54,#ff0000
1835,60,#006300
1839,60,#7feb00
1843,60,#7feb00
1847,60,#7feb00
1851,59,#7feb00
1855,60,#7feb00
1859,60,#7feb00
1863,60,#7feb00
1867,60,#7feb00
1872,60,#7feb00
1876,60,#7feb00
1881,60,#7feb00
1885,60,#7feb00
1890,61,#7feb00
1894,61,#7feb00
1899,61,#7feb00
1903,61,#7feb00
1908,61,#7feb00
1912,61,#7feb00
1917,61,#7feb00
1921,61,#7feb00
1926,61,#7feb00
1931,61,#7feb00
1935,61,#7feb00
1940,62,#7feb00
1944,62,#7feb00
1949,62,#7feb00
1953,62,#7feb00
1958,62,#7feb00
1963,62,#7feb00
1967,62,#7feb00
1972,62,#7feb00
1976,62,#7feb00
1981,62,#7feb00
1986,63,#7feb00
1990,63,#7feb00
1995,63,#7feb00
1999,63,#7feb00
2004,63,#7feb00
2008,63,#7feb00
2013,63,#7feb00
2017,63,#7feb00
